1024, 4, 0.005724, 0.000751, 0.004110
1024, 8, 0.007310, 0.000275, 0.003199
1024, 16, 0.003372, 0.000192, 0.006453
1024, 32, 0.002694, 0.000207, 0.011862
1024, 64, 0.006656, 0.000395, 0.014883
1024, 128, 0.003154, 0.001176, 0.324973
2048, 4, 0.017637, 0.001006, 0.005645
2048, 8, 0.016659, 0.000431, 0.005460
2048, 16, 0.016867, 0.000325, 0.007599
2048, 32, 0.017385, 0.000406, 0.014398
2048, 64, 0.017381, 0.000830, 0.021429
2048, 128, 0.011061, 0.001524, 0.661461
4096, 4, 0.054543, 0.009630, 0.018702
4096, 8, 0.052980, 0.002712, 0.017300
4096, 16, 0.054072, 0.001082, 0.019005
4096, 32, 0.049369, 0.000884, 0.031629
4096, 64, 0.055347, 0.001938, 0.048142
4096, 128, 0.049523, 0.002480, 1.487232
8192, 4, 0.229870, 0.021064, 0.050276
8192, 8, 0.224653, 0.009977, 0.038456
8192, 16, 0.225665, 0.003340, 0.041426
8192, 32, 0.228610, 0.002067, 0.060296
8192, 64, 0.229990, 0.003325, 0.097413
8192, 128, 0.226466, 0.004493, 2.933580
16384, 4, 0.985486, 0.059116, 0.184946
16384, 8, 0.983905, 0.022023, 0.110969
16384, 16, 0.985684, 0.011222, 0.088394
16384, 32, 0.980936, 0.005313, 0.119611
16384, 64, 0.981303, 0.007575, 0.188409
16384, 128, 0.983540, 0.009184, 6.245034
32768, 4, 4.124079, 0.231247, 0.757385
32768, 8, 4.111557, 0.061147, 0.411464
32768, 16, 4.111485, 0.024957, 0.262848
32768, 32, 4.115638, 0.014713, 0.241310
32768, 64, 4.115815, 0.015967, 0.388308
32768, 128, 4.114591, 0.019091, 12.135308
65536, 4, 17.055722, 0.977874, 3.324450
65536, 8, 17.062686, 0.237306, 1.770897
65536, 16, 17.042375, 0.068300, 0.926649
65536, 32, 17.059740, 0.033312, 0.666250
65536, 64, 17.078299, 0.034620, 0.935953
65536, 128, 17.077875, 0.049127, 24.236143
131072, 4, 69.779433, 4.058741, 14.453112
131072, 8, 69.602642, 0.970306, 7.778141
131072, 16, 69.624483, 0.246773, 3.846615
131072, 32, 69.617513, 0.084761, 2.199555
131072, 64, 69.629037, 0.074169, 2.491286
131072, 128, 69.590404, 0.094568, 48.557295
262144, 4, 279.853863, 16.675031, 60.454296
262144, 8, 280.415132, 4.065312, 33.845594
262144, 16, 279.807998, 0.998609, 17.125808
262144, 32, 280.092722, 0.279690, 8.247122
262144, 64, 280.000431, 0.188679, 7.768969
262144, 128, 279.838433, 0.201805, 68.171444
524288, 4, 1122.943587, 68.191415, 242.314079
524288, 8, 1123.818067, 16.833488, 139.310275
524288, 16, 1122.988437, 4.161605, 73.800461
